checkpoint,stage,global_step,conditioning,group,samples,evaluation_failures,cer_mean,wer_mean,wavlm_similarity_mean,camp_similarity_mean,dnsmos_ovrl_mean,dnsmos_sig_mean,dnsmos_bak_mean,cer_micro,wer_micro
step_00003000,1,3000,stage1_acoustic_plus_native_base_prosody_diagnostic,majestic_mixed,50,0,0.017731606684695925,0.06,0.7247115647792817,0.5778166568279266,3.4251256651201576,3.6576934464486714,4.187775284816754,0.016843971631205674,0.052083333333333336
step_00003000,1,3000,stage1_acoustic_plus_native_base_prosody_diagnostic,majestic_zh,200,0,0.0022242265743409907,0.0,0.778050163090229,0.5931964319944382,3.410887470433461,3.6354016211019795,4.184049255544906,0.002380952380952381,
stage1_final,1,3360,stage1_acoustic_plus_native_base_prosody_diagnostic,majestic_en,200,0,0.003165153076299956,0.00799803382891618,0.7688301977515221,0.7743894040584565,3.3607589055836744,3.597916883184615,4.168284593261671,0.00303951367781155,0.008208594881699663
stage1_final,1,3360,stage1_acoustic_plus_native_base_prosody_diagnostic,majestic_mixed,50,0,0.017731606684695925,0.06,0.7229256355762481,0.5781183767318726,3.425890866599242,3.657666874009445,4.187763279686494,0.016843971631205674,0.052083333333333336
stage1_final,1,3360,stage1_acoustic_plus_native_base_prosody_diagnostic,majestic_zh,200,0,0.0022242265743409907,0.0,0.7776759219169617,0.5928711920976639,3.4104982556095447,3.6353470765625127,4.182869316524897,0.002380952380952381,
step_00003460,2,3460,fixed_training_reference_mean,majestic_en,8,0,0.0,0.0,0.8207107335329056,0.8178576603531837,3.4011548824821882,3.636503749859826,4.179493871814145,0.0,0.0
step_00003460,2,3460,fixed_training_reference_mean,majestic_mixed,8,0,0.0,0.0,0.7104744017124176,0.6154586374759674,3.4885766227623325,3.7219806290243618,4.2086886828303625,0.0,0.0
step_00003460,2,3460,fixed_training_reference_mean,majestic_zh,8,0,0.011634199134199134,0.0,0.8123236820101738,0.6504285708069801,3.529667236948635,3.7373716867896247,4.224174631054759,0.013513513513513514,
step_00004360,2,4360,fixed_training_reference_mean,majestic_en,200,0,0.0019828168939637738,0.00695986856280974,0.8384511610865593,0.8370611009001732,3.4124862784859964,3.642213215317002,4.189124973008195,0.0023058379624777275,0.007242877836793819
step_00004360,2,4360,fixed_training_reference_mean,majestic_mixed,50,0,0.012608695652173913,0.07,0.7706935214996338,0.6720665180683136,3.461009897356957,3.6945118161626516,4.1941698643107115,0.012411347517730497,0.07291666666666667
step_00004360,2,4360,fixed_training_reference_mean,majestic_zh,200,0,0.0028818146003500695,0.0,0.8274018350243568,0.6810356795787811,3.468685435676091,3.688042904369668,4.194076676130338,0.0026455026455026454,
step_00005360,2,5360,directly_optimized_voicepack,majestic_en,200,0,0.0025916878617057095,0.00799803382891618,0.8154901623725891,0.8213898327946663,3.350180566657319,3.575445754927506,4.182818779844241,0.002725081228382769,0.008208594881699663
step_00005360,2,5360,directly_optimized_voicepack,majestic_mixed,50,0,0.0,0.02,0.7617769193649292,0.6789090704917907,3.434945566390131,3.665023406611775,4.190506340811198,0.0,0.020833333333333332
step_00005360,2,5360,directly_optimized_voicepack,majestic_zh,200,0,0.004024419135403117,0.0,0.8129968696832657,0.6934265783429145,3.4652936399908407,3.6831406213590405,4.194717520580726,0.003968253968253968,
step_00006360,2,6360,directly_optimized_voicepack,majestic_en,200,0,0.0029087428198896993,0.007078916181857358,0.814898207783699,0.8233678582310676,3.3679647190899193,3.5909464531591966,4.186664289494567,0.0028298920448590293,0.007242877836793819
step_00006360,2,6360,directly_optimized_voicepack,majestic_mixed,50,0,0.00125,0.02,0.7720273339748382,0.6900660705566406,3.442159367076258,3.6703007613423075,4.189888880986149,0.0008865248226950354,0.020833333333333332
step_00006360,2,6360,directly_optimized_voicepack,majestic_zh,200,0,0.003488404568353081,0.0,0.8226273390650749,0.7108497774600983,3.46201206031178,3.678223058836859,4.192572511206688,0.0034391534391534392,
